RT,Best_match_name,All_match_list,Quant_Ion,Relative_Peak_Area,Peak_Height
440.58400000002,"3-Hexen-1-ol, formate, (Z)-","'Pyrrole', 0.48, 'Bicyclo[4.1.0]heptane', 0.51, '3-Hexen-1-ol, (E)-', 0.65, '3-Hexen-1-ol', 0.67, '3-Hexen-1-ol, (Z)-', 0.78, '2-Hexen-1-ol, (E)-', 0.49, '5-Hexen-1-ol', 0.76, '2-Hexen-1-ol, (Z)-', 0.55, 'Cyclohexanol', 0.54, '3-Hexen-1-ol, formate, (Z)-', 0.8",67.0,20789058.294615723,4693777.141098022
450.945,Unknown,,60.0,557197.831398142,50287.00212713542
455.08999999998,Unknown,,112.0,23831.922503052057,5671.268367528915
467.52299999999997,Unknown,,106.0,22415.619570793497,4544.277876973152
471.66799999998,"Butanoic acid, 2-methyl-","'Methyl valerate', 0.54, 'Butanoic acid, 3-hydroxy-, methyl ester', 0.41, 'Butanoic acid, 2-methyl-', 0.66, 'CH3C(O)OCH(CH3)C(O)CH3', 0.42, 'Hexanoic acid, methyl ester', 0.43",74.0,898106.8873852736,116102.34376502037
477.88500000000005,1-Hexanol,"'Hexanal', 0.48, 'Cyclopropane, pentyl-', 0.4, '1-Pentanol, 3-methyl-', 0.5, '1-Pentanol, 4-methyl-', 0.48, '1-Hexanol', 0.62, '1-Nonene', 0.48, 'Formic acid, hexyl ester', 0.55, 'Butyrolactone', 0.4",56.0,9260041.237590678,1642664.859085083
504.82399999998006,Unknown,,68.0,28382.033632805716,7121.716924241777
529.6900000000201,Unknown,,75.0,10752.653321322232,2830.010210752487
533.835,2-n-Butyl furan,"'2-n-Butyl furan', 0.59",81.0,98220.36868513776,25436.376769781113
537.9790000000199,Methional,"'Methional', 0.5",104.0,52362.44120898857,11655.656314572861
560.59999999998,Unknown,,82.0,27724.821537838885,6290.065141348659
